,id,comment,author,likecount,publishedAt
73,UgwmHBKr2ztgrUbeRgt4AaABAg,"- Я не чувствую здесь абсент...
- Короновирус, бро!",Носов Павел,12,2021-07-06T08:28:24Z
74,Ugw0QPJJFKe-esFHf394AaABAg,До 11ти утра шейковать? =)  Да до 11ти утра кошечка своими лапками делает БУМ! БУМ! БУМ!,Sergey M,13,2021-07-06T08:23:36Z
75,UgyovWfDFfuov-zpufl4AaABAg,"ДЖИГГЕР СПИННЕР
ДЖИГГЕР СПИННЕР",BGR ttoo,4,2021-07-06T08:22:09Z
76,UgxER_NIlZza9n4Orhx4AaABAg,"Пить до 11ти утра оно конечно не нужно, но самые веселые истории как раз и происходят после такого.",Sergey M,20,2021-07-06T08:19:37Z
77,Ugzil9q_eqa1oG0SzY14AaABAg,"Испанец вновь и вновь посещает меня. Когда я смотрю как Евграф шейкует)))
Господа пьющие и выпивающие) Подскажите большой сайт для баров. Хотел домой приобрести роксы большие и прочее.
А у меня в городе только бумажные стаканчики из Красного и Белого.",Carlos Vulgar,1,2021-07-06T08:17:59Z
78,Ugwzvn-o4pZDa396R_Z4AaABAg,"Отличная рубрика!) Интересные коктейли, то что нужно с утра.)))
То, что мертво, умереть не может!",ADpain,6,2021-07-06T08:11:27Z
79,UgyCWKcch8110SeGtf54AaABAg,где лимончик с барной стойки??,Nicky Olegovich,0,2021-07-06T08:09:07Z
80,Ugyp9tgxDN6tcPXrS4d4AaABAg,Короче) утром выпил день свободен) а уж если с бадуна..... В общем) тема интересная) в 11 начинать),Федор Шумский,0,2021-07-06T08:05:01Z
81,UgypxhBJHX_w5JgADK94AaABAg,Футболка с надписью Trooper идеально подходит))),Денис Захаров,11,2021-07-06T08:04:38Z
82,UgwQKRGlHNmepkSS5BZ4AaABAg,Почему это видео не вышло в пятницу???? Знал бы чем похмелятся в субботу 😢😢😢😁,Аркадий Микаэлян,1,2021-07-06T08:02:11Z
83,UgzCoOAp41T4pXXf3ux4AaABAg,Где содовая?,Nikita Nikita,0,2021-07-06T08:01:38Z
84,Ugziltl5yLqnz9MhI794AaABAg,"Первый,нах",Mr. Nami,2,2021-07-06T08:00:37Z
