,id,comment,author,likecount,publishedAt
29,UgxHATfB6YagugcmDmZ4AaABAg,This meme is almost as cancerous and cringy as amogus,SnackDestroyer,0,2021-06-22T06:40:12Z
30,UgwWTtKmGaHS3wN0oLl4AaABAg,The subtitle is interesting. Es passt zumindest...,Solid x Angry Joer,0,2021-06-21T23:59:30Z
31,Ugwa15HVD1GQ6oxVCyF4AaABAg,Oğlum sana acıyorum valla,toyota hilux,0,2021-06-21T22:35:03Z
32,Ugy1zXRhAA4FDtnKLZJ4AaABAg,А по-новее - ничего нет?,Kendov,0,2021-06-21T22:03:03Z
33,Ugx204vyYh-SxDjg8aZ4AaABAg,Блин так несмешно же,Randy Diesel,0,2021-06-21T20:24:56Z
34,UgyfDWrUlRMSfOHecbx4AaABAg,YOU THINK YOU CAN OUTRUN THAT HEAVY MACHINE GUN?,Ñ,1,2021-06-21T16:01:06Z
35,UgxTnIbIq57N_BjJVBp4AaABAg,"Блин, так смешно же...",Vladimir Markov,0,2021-06-20T23:15:56Z
36,UgxEbvHoIf-6et16mul4AaABAg,I was expecting it all to be in Russian,Leon McBane,0,2021-06-20T19:06:15Z
37,UgxL6Pjcgy57EDpej6V4AaABAg,Which program did you use to do this animation? Its just awesome!!!,Flying Victor,0,2021-06-20T18:49:56Z
38,UgwziyvTafRzn7FQ_0p4AaABAg,"""What will you have in 500 years!?""
""You Comrade...I'd still have you.""",MOS,19,2021-06-19T15:51:37Z
39,Ugxm_K6SQ8hvOotjN_p4AaABAg,"I've finally started playing stalker, started at SOC. And now I think I just started at the middle of the book",M1LK1E W4Y,3,2021-06-19T07:30:44Z
40,UgxhmcWTBX_BLJl6kq14AaABAg,I love stalker memes whatever it is,Kynxze Amv,0,2021-06-19T05:39:26Z
41,Ugx02SGY9m6guAtL7M54AaABAg,"Думай стрелок, думай!",Сергей Сергеев,0,2021-06-19T02:00:53Z
42,UgwubyOAVJuMyxhSfnF4AaABAg,"Think, marked one!",PekaCheeki,1,2021-06-18T17:28:51Z
43,UgwGjI2RqXPQ7hqv0nF4AaABAg,hey can someone please tell me from what show it was taken?,Wiktoria Sitarek,0,2021-06-18T09:28:47Z
44,Ugzend5rjWg8p7cTxU94AaABAg,"Русско говорящие которые не помнили о чём сказал Сталкер но помнил ,что сказал боец чистого неба в конце . Английска говорящие которые помняли о чем говорил Сталкер .Вот такой КОЛАБ ЛОЛ",Nurekesh T,0,2021-06-17T21:04:02Z
45,UgyVia6Cly7mpxpIhpN4AaABAg,Ну ты даешь  )),Айдер Нурмухаммедов,0,2021-06-17T18:59:44Z
46,UgzLqImFkYRtrZYBSAl4AaABAg,"""You're fighting so you can watch everyone around you die."" hits deeper because he's from Clear Sky.",Alistair,33,2021-06-17T18:49:51Z
47,Ugx6PlQzveiey7T7kTV4AaABAg,It would be more relatable if instead of Stalker there was Monolith,Studio Quadro,0,2021-06-17T12:06:04Z
48,UgwKuzTGr0_QHXJGVvd4AaABAg,"DON'T PRE-ORDER, THINK STALKER, THINK",Kuro,2,2021-06-14T12:55:33Z
49,UgyIBemtoG3KTxXEYJR4AaABAg,Ржака,Тенчел Ширимээ,0,2021-06-14T12:49:33Z
50,Ugzs9yHs_WGO_Ov8wNd4AaABAg,"Blin, tak ne smeshno zhe",Yee Yee,1,2021-06-14T07:44:22Z
51,UgzccbAOK5PIvfbkLn14AaABAg,I just realized that were gonna play STALKER 2 for a few days after the release and then came back to Anomaly mod,yeva nasvetya,2,2021-06-14T04:46:16Z
52,Ugz1XPPXe1mzRv6KtWN4AaABAg,cheeki breeki,GDGH 432,0,2021-06-14T02:03:51Z
53,UgyF8Cn3F6as3hK8fJ14AaABAg,"0:13
Look at his right hand.",Mialisus,1,2021-06-13T19:32:42Z
54,UgzBWK26qOdw1Cfq9Yp4AaABAg,то чувство когда услышали С.Т.А.Л.К.Е.Р. на английском,Галина Ежова,0,2021-06-13T12:21:18Z
55,UgzI6xOedvV5ZaXf8EZ4AaABAg,So Loner rants on wounded Clear Sky soldier... Hmm...,SgtParker,1,2021-06-13T00:36:41Z
56,Ugx6ufwy7iC-5TJUiTJ4AaABAg,https://youtu.be/CGbQmoU4PBE remember this in stalker?,Oh It's The Neme,0,2021-06-12T21:55:24Z
57,UgyQUAXH9txUFOolQEl4AaABAg,The ending was perfect,Semechki McBlyat,1,2021-06-12T13:59:34Z
58,UgzNIAxpC_exFfmpE2F4AaABAg,"Think , MARKed One , THINK",Д. К,0,2021-06-11T20:26:48Z
59,Ugz5_qL1rrwVf4eSzpp4AaABAg,"Think, Marked One Think!",unknown,0,2021-06-11T12:24:00Z
60,UgxF2jPG3JmVxYS6WQV4AaABAg,"CHEEKI STALKER, BREEKI",Cüneyt Ersezer,0,2021-06-11T09:09:57Z
61,Ugy8D7g1Yt48eDpOi6Z4AaABAg,"THINK,MARK(ONE)!!!",Black Knightz,0,2021-06-11T08:05:15Z
62,UgwE-hsBUx6oiyEWhV54AaABAg,"Новый сериал, который можно посмотреть в Баре. ""Несмешной""",Cycle Mono,0,2021-06-11T07:14:07Z
63,Ugx0GQAw14c9XXqVODJ4AaABAg,At first I thought this was going to be the end of Meet the Demoman. The angle of the Brain Scorcher threw me off,Sith of Darkness™,2,2021-06-11T02:04:10Z
64,UgyLthHrZ5X8rXa25-54AaABAg,should have done monolith oniman and strelok mark,Faeryka Loner,0,2021-06-10T23:41:41Z
65,UgwcH7f2rr-4RNtmEVJ4AaABAg,"Stop understanding the zone. Think clearsky. If you understand the zone, it doesn't make any change. Because in the end the zone doesn't understand you.",amirhoseyn puyan,2,2021-06-10T21:05:38Z
66,Ugwh0QR_nd9spXkpWfF4AaABAg,"Yeah it's  not funny at all 
And by sounds i guess the выброс(don't know how it called on english)is coming",Almond Bread,0,2021-06-10T20:20:25Z
67,UgyJ5Ac16v8yOWa260Z4AaABAg,CS response got me at the end,Artyom,0,2021-06-10T10:08:43Z
68,Ugya1Ot7pOJStkFakfJ4AaABAg,"думат, СТАЛКЕР, думат!",CRAZYD4VE87,0,2021-06-10T03:52:26Z
69,UgzyyzT0Ry3iPpO1fLF4AaABAg,You wanna die for this loot? Fine. What's 17 more hours? I can always start again. Get another rookie.,Lucas Betanzo Norambuena,54,2021-06-09T22:05:11Z
70,Ugy4rOAt3KxkgmcbCeV4AaABAg,"Блин, так не смешно же!",Hsaelt,0,2021-06-09T17:16:40Z
71,UgxBWTl7_owJUYCFZb54AaABAg,"-''БЭлин, так не смешно же!''",Jeremy,0,2021-06-09T14:13:50Z
72,Ugw0L5q8J94yf3Jc3jV4AaABAg,"Didn’t you know that going to the center of the zone would destroy everything?
Think, strelok!",TruSkeleZ - Unturned and more!,2,2021-06-09T09:10:27Z
73,UgwC752AoYrsFUQTIyt4AaABAg,blin,amarr 恩火,0,2021-06-09T01:12:13Z
74,UgyU8Az756l4N-VQV5F4AaABAg,"Once a Clear Sky, always a Clear Sky",W's Simp,1,2021-06-08T16:51:38Z
75,UgzqEr85mQRhhgGkSqt4AaABAg,I need that channel banner,KλLλZH4663,0,2021-06-08T12:00:59Z
76,UgydgGKTrY3EJiYnJQB4AaABAg,"Блин, так не смшно же!",path of bread,2,2021-06-08T10:31:12Z
77,Ugxm0KXuK5z-oEipOv14AaABAg,Berlin technically,Joseph Joestar,0,2021-06-08T10:29:27Z
78,UgzUx9tyT8YDkUk3KI94AaABAg,"When you get out of the cutscene:
“What’s up, bro?”",Joshua Ramos,23,2021-06-08T10:23:06Z
79,UgxWbCDp9_uQGgHww9J4AaABAg,It's not funny 😂😂😂😂😂,Gizengo,0,2021-06-08T06:46:07Z
80,UgyAPhdmHeKot8NYn1J4AaABAg,Why not monolith soldeir?,Дмитрий Кыржинаков,0,2021-06-08T03:42:29Z
81,UgxB5XBe_R15knDD3494AaABAg,Awesome!,Cyboman Gaming,1,2021-06-07T21:06:01Z
82,UgwFOuARY6qzB2OBUMx4AaABAg,"*Не, ну ты лучше-бы про Штирлеца рассказал!*",Stupid Cookie :D - Монолитовец,1,2021-06-07T20:14:07Z
83,Ugxs-Mg6zdW4fjvWwxl4AaABAg,Это будет мем.,Эдвард,0,2021-06-07T16:06:03Z
84,UgzhVVpM9g6sPsURFcp4AaABAg,"""DO YOU REALLY THINK YOU CAN TAKE ON A PSEUDOGIANT WITH A MAKAROV?! THINK MONOLITH, THINK!""",Kamil525,433,2021-06-07T14:21:35Z
85,UgyP5OUHPbz7JHa_DEV4AaABAg,When wish granter gives you immortality.,404BYTE,4,2021-06-07T12:24:11Z
86,UgzSWhmuqeBnM86W-7N4AaABAg,This is great,VILER,0,2021-06-07T11:31:02Z
87,UgyUJv95zsB3viZJYYZ4AaABAg,"Think stalker think , when I tell u to come in dont stand there then u come in and not stand there 🔪",اخترت الله,0,2021-06-07T07:51:44Z
88,UgxmKCHr-j4HAav7Acp4AaABAg,"I'll still have you, OH MONOLITH",banks beasley,0,2021-06-07T07:11:15Z
89,Ugw0tUlt06bPntl0qrh4AaABAg,Блін та не смішно ж,DEFTER X,0,2021-06-07T05:30:33Z
90,UgxGcD2gWlfLA6DXsEd4AaABAg,"""The unlimited F5 God""",Landscape,6,2021-06-07T03:33:07Z
